,id,name,duration_ms,href,popularity,uri,album_id
0,1gejz5ROvJBUb6WJzkMAcc,Fortnight (feat. Post Malone) - BLOND:ISH Remix,216979,https://api.spotify.com/v1/tracks/1gejz5ROvJBUb6WJzkMAcc,65,spotify:track:1gejz5ROvJBUb6WJzkMAcc,1agEHpWnELaZHWzcbGDCpu
1,20nACtTlLpHqevuIVVD166,Fortnight (feat. Post Malone),228965,https://api.spotify.com/v1/tracks/20nACtTlLpHqevuIVVD166,59,spotify:track:20nACtTlLpHqevuIVVD166,1agEHpWnELaZHWzcbGDCpu
2,1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,178426,https://api.spotify.com/v1/tracks/1BxfuPKGuaTgP7aM0Bbdwr,94,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,1NAmidJlEaVgA3MpcPFYGq
3,2OzhQlSqBEmt7hmkYxfT6m,Fortnight (feat. Post Malone),228965,https://api.spotify.com/v1/tracks/2OzhQlSqBEmt7hmkYxfT6m,95,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,1Mo4aZ8pdj6L1jx8zSwJnt
4,1dGr1c8CrMLDpV6mPbImSI,Lover,221306,https://api.spotify.com/v1/tracks/1dGr1c8CrMLDpV6mPbImSI,87,spotify:track:1dGr1c8CrMLDpV6mPbImSI,1NAmidJlEaVgA3MpcPFYGq
5,0ug5NqcwcFR2xrfTkc7k8e,Style,231000,https://api.spotify.com/v1/tracks/0ug5NqcwcFR2xrfTkc7k8e,80,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,1yGbNOtRIgdIiGHOEBaZWf
6,4q5YezDOIPcoLr8R81x9qy,I Can Do It With a Broken Heart,218004,https://api.spotify.com/v1/tracks/4q5YezDOIPcoLr8R81x9qy,90,spotify:track:4q5YezDOIPcoLr8R81x9qy,1Mo4aZ8pdj6L1jx8zSwJnt
7,6dODwocEuGzHAavXqTbwHv,Fortnight (feat. Post Malone),228965,https://api.spotify.com/v1/tracks/6dODwocEuGzHAavXqTbwHv,91,spotify:track:6dODwocEuGzHAavXqTbwHv,5H7ixXZfsNMGbIE5OBSpcb
8,1u8c2t2Cy7UBoG4ArRcF5g,Blank Space,231826,https://api.spotify.com/v1/tracks/1u8c2t2Cy7UBoG4ArRcF5g,82,spotify:track:1u8c2t2Cy7UBoG4ArRcF5g,1yGbNOtRIgdIiGHOEBaZWf
9,2F3N9tdombb64aW6VtZOdo,Down Bad,261228,https://api.spotify.com/v1/tracks/2F3N9tdombb64aW6VtZOdo,88,spotify:track:2F3N9tdombb64aW6VtZOdo,1Mo4aZ8pdj6L1jx8zSwJnt
10,3hUxzQpSfdDqwM3ZTFQY0K,august,261922,https://api.spotify.com/v1/tracks/3hUxzQpSfdDqwM3ZTFQY0K,85,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,2fenSS68JI1h4Fo296JfGr
11,4R2kfaDFhslZEMJqAFNpdd,cardigan,239560,https://api.spotify.com/v1/tracks/4R2kfaDFhslZEMJqAFNpdd,86,spotify:track:4R2kfaDFhslZEMJqAFNpdd,2fenSS68JI1h4Fo296JfGr
12,0V3wPSX9ygBnCm8psDIegu,Anti-Hero,200690,https://api.spotify.com/v1/tracks/0V3wPSX9ygBnCm8psDIegu,86,spotify:track:0V3wPSX9ygBnCm8psDIegu,151w1FgRZfnKZA9FEcg9Z3
13,1kbEbBdEgQdQeLXCJh28pJ,Down Bad,261228,https://api.spotify.com/v1/tracks/1kbEbBdEgQdQeLXCJh28pJ,90,spotify:track:1kbEbBdEgQdQeLXCJh28pJ,5H7ixXZfsNMGbIE5OBSpcb
14,799KrpEbhZp0MHeiA8YK9P,Guilty as Sin?,254365,https://api.spotify.com/v1/tracks/799KrpEbhZp0MHeiA8YK9P,90,spotify:track:799KrpEbhZp0MHeiA8YK9P,5H7ixXZfsNMGbIE5OBSpcb
15,1qrpoAMXodY6895hGKoUpA,You Belong With Me (Taylor’s Version),231124,https://api.spotify.com/v1/tracks/1qrpoAMXodY6895hGKoUpA,82,spotify:track:1qrpoAMXodY6895hGKoUpA,4hDok0OAJd57SGIT8xuWJH
16,1fzAuUVbzlhZ1lJAx9PtY6,Daylight,293453,https://api.spotify.com/v1/tracks/1fzAuUVbzlhZ1lJAx9PtY6,80,spotify:track:1fzAuUVbzlhZ1lJAx9PtY6,1NAmidJlEaVgA3MpcPFYGq
17,1R0a2iXumgCiFb7HEZ7gUE,Don’t Blame Me,236413,https://api.spotify.com/v1/tracks/1R0a2iXumgCiFb7HEZ7gUE,85,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,6DEjYFkNZh67HP7R9PSZvv
18,1hjRhYpWyqDpPahmSlUTlc,Style (Taylor's Version),231000,https://api.spotify.com/v1/tracks/1hjRhYpWyqDpPahmSlUTlc,80,spotify:track:1hjRhYpWyqDpPahmSlUTlc,64LU4c1nfjz1t4VnGhagcg
19,4P9Q0GojKVXpRTJCaL3kyy,All Of The Girls You Loved Before,221407,https://api.spotify.com/v1/tracks/4P9Q0GojKVXpRTJCaL3kyy,77,spotify:track:4P9Q0GojKVXpRTJCaL3kyy,1Uauz6ql2dIPvIOH4JiuhD
20,3CeCwYWvdfXbZLXFhBrbnf,Love Story (Taylor’s Version),235766,https://api.spotify.com/v1/tracks/3CeCwYWvdfXbZLXFhBrbnf,80,spotify:track:3CeCwYWvdfXbZLXFhBrbnf,4j2syEjl3h1To8KbRgvmJn
21,6YvqWjhGD8mB5QXcbcUKtx,Love Story (Taylor’s Version),235766,https://api.spotify.com/v1/tracks/6YvqWjhGD8mB5QXcbcUKtx,79,spotify:track:6YvqWjhGD8mB5QXcbcUKtx,4hDok0OAJd57SGIT8xuWJH
22,4PdLaGZubp4lghChqp8erB,The Tortured Poets Department,293048,https://api.spotify.com/v1/tracks/4PdLaGZubp4lghChqp8erB,89,spotify:track:4PdLaGZubp4lghChqp8erB,5H7ixXZfsNMGbIE5OBSpcb
23,2fPvQfGQEZOKtJ9qXeL4x8,I Can Do It With a Broken Heart,218004,https://api.spotify.com/v1/tracks/2fPvQfGQEZOKtJ9qXeL4x8,90,spotify:track:2fPvQfGQEZOKtJ9qXeL4x8,5H7ixXZfsNMGbIE5OBSpcb
24,3Vevii7qKqrmW8CcyzBHDl,"So Long, London",262974,https://api.spotify.com/v1/tracks/3Vevii7qKqrmW8CcyzBHDl,85,spotify:track:3Vevii7qKqrmW8CcyzBHDl,1Mo4aZ8pdj6L1jx8zSwJnt
