,track_id,track_name,href,popularity,uri,album_id,duration,loudness,tempo,time_signature,key,mode,acousticness,energy,danceability,album_name,album_type,album_popularity,release_date,total_tracks,album_uri,album_href
0,4hsEFcCA7AL5hlKG4PRp2Z,Michi Teyu Ku (Overflowing),https://api.spotify.com/v1/tracks/4hsEFcCA7AL5hlKG4PRp2Z,69,spotify:track:4hsEFcCA7AL5hlKG4PRp2Z,06qRSgIo9l4Gf7ACV6JZQq,310.9971,-7.91,143.99,4/4,A,Major,0.473,0.591,0.565,Michi Teyu Ku (Overflowing),single,57,2024-03-14,1,spotify:album:06qRSgIo9l4Gf7ACV6JZQq,https://api.spotify.com/v1/albums/06qRSgIo9l4Gf7ACV6JZQq
1,0o9zmvc5f3EFApU52PPIyW,Shinunoga E-Wa,https://api.spotify.com/v1/tracks/0o9zmvc5f3EFApU52PPIyW,78,spotify:track:0o9zmvc5f3EFApU52PPIyW,1OojCidx0eoPKch2M0Kz31,185.57333,-6.124,158.078,4/4,F#/Gb,Minor,0.166,0.76,0.6,HELP EVER HURT NEVER,album,67,2020-05-20,11,spotify:album:1OojCidx0eoPKch2M0Kz31,https://api.spotify.com/v1/albums/1OojCidx0eoPKch2M0Kz31
12,7AMGgAPFczs3wJgMqu6Eqi,Matsuri,https://api.spotify.com/v1/tracks/7AMGgAPFczs3wJgMqu6Eqi,68,spotify:track:7AMGgAPFczs3wJgMqu6Eqi,7Ip9X7pnkhJ4cwDoBnvneD,225.92,-7.335,97.025,4/4,C#/Db,Major,0.00892,0.731,0.663,LOVE ALL SERVE ALL,album,61,2022-03-23,11,spotify:album:7Ip9X7pnkhJ4cwDoBnvneD,https://api.spotify.com/v1/albums/7Ip9X7pnkhJ4cwDoBnvneD
13,51oc6MEsXTpnPn6GOw5VuP,きらり,https://api.spotify.com/v1/tracks/51oc6MEsXTpnPn6GOw5VuP,70,spotify:track:51oc6MEsXTpnPn6GOw5VuP,2OXwORzPU4tm1Skiv6l9KT,231.88295,-6.833,116.982,4/4,D,Major,0.00803,0.764,0.746,Kirari Remixes (Asia Edition),album,58,2022-01-14,9,spotify:album:2OXwORzPU4tm1Skiv6l9KT,https://api.spotify.com/v1/albums/2OXwORzPU4tm1Skiv6l9KT
14,02tNuntKQsoou5T4O8meyh,Hana,https://api.spotify.com/v1/tracks/02tNuntKQsoou5T4O8meyh,62,spotify:track:02tNuntKQsoou5T4O8meyh,0v6vQ9tMopUTccn0wUvzQD,246.69986,-8.203,123.031,4/4,F,Minor,0.118,0.716,0.769,Hana,single,50,2023-10-12,1,spotify:album:0v6vQ9tMopUTccn0wUvzQD,https://api.spotify.com/v1/albums/0v6vQ9tMopUTccn0wUvzQD
15,2vMc8rqFmqs7RFi8NDx0CJ,Garden,https://api.spotify.com/v1/tracks/2vMc8rqFmqs7RFi8NDx0CJ,59,spotify:track:2vMc8rqFmqs7RFi8NDx0CJ,7Ip9X7pnkhJ4cwDoBnvneD,229.33333,-8.332,138.023,4/4,E,Major,0.0932,0.527,0.589,LOVE ALL SERVE ALL,album,61,2022-03-23,11,spotify:album:7Ip9X7pnkhJ4cwDoBnvneD,https://api.spotify.com/v1/albums/7Ip9X7pnkhJ4cwDoBnvneD
16,7pTwW5yCKRx6OkByY53jbz,damn,https://api.spotify.com/v1/tracks/7pTwW5yCKRx6OkByY53jbz,58,spotify:track:7pTwW5yCKRx6OkByY53jbz,7Ip9X7pnkhJ4cwDoBnvneD,259.02667,-7.955,129.982,4/4,G,Major,0.00346,0.759,0.707,LOVE ALL SERVE ALL,album,61,2022-03-23,11,spotify:album:7Ip9X7pnkhJ4cwDoBnvneD,https://api.spotify.com/v1/albums/7Ip9X7pnkhJ4cwDoBnvneD
17,2CbGuO0LtVvbh3umN3mDwM,Nan-Nan,https://api.spotify.com/v1/tracks/2CbGuO0LtVvbh3umN3mDwM,54,spotify:track:2CbGuO0LtVvbh3umN3mDwM,1OojCidx0eoPKch2M0Kz31,320.64,-7.113,180.065,4/4,G,Major,0.394,0.729,0.577,HELP EVER HURT NEVER,album,67,2020-05-20,11,spotify:album:1OojCidx0eoPKch2M0Kz31,https://api.spotify.com/v1/albums/1OojCidx0eoPKch2M0Kz31
18,0Whfa8wikSDUvtB5mzYOGH,Workin' Hard,https://api.spotify.com/v1/tracks/0Whfa8wikSDUvtB5mzYOGH,62,spotify:track:0Whfa8wikSDUvtB5mzYOGH,0BsBIukVE2pUB4xmWrkeAt,239.07098,-6.106,90.0,4/4,D,Minor,0.0336,0.664,0.74,Workin' Hard,single,49,2023-08-24,1,spotify:album:0BsBIukVE2pUB4xmWrkeAt,https://api.spotify.com/v1/albums/0BsBIukVE2pUB4xmWrkeAt
19,4Lrz9Fg8L1yncuCjjKjD4D,Hedemo Ne-Yo - LASA edit,https://api.spotify.com/v1/tracks/4Lrz9Fg8L1yncuCjjKjD4D,53,spotify:track:4Lrz9Fg8L1yncuCjjKjD4D,7Ip9X7pnkhJ4cwDoBnvneD,188.94667,-5.899,175.966,4/4,C,Major,0.0615,0.861,0.506,LOVE ALL SERVE ALL,album,61,2022-03-23,11,spotify:album:7Ip9X7pnkhJ4cwDoBnvneD,https://api.spotify.com/v1/albums/7Ip9X7pnkhJ4cwDoBnvneD
