,track_id,track_name,href,popularity,uri,release_date,album_id,album_name,duration,loudness,tempo,time_signature,key,mode,acousticness,energy,instrumentalness,danceability,liveness,speechiness
0,4hsEFcCA7AL5hlKG4PRp2Z,Michi Teyu Ku (Overflowing),https://api.spotify.com/v1/tracks/4hsEFcCA7AL5hlKG4PRp2Z,69.0,spotify:track:4hsEFcCA7AL5hlKG4PRp2Z,2024-03-14,06qRSgIo9l4Gf7ACV6JZQq,Michi Teyu Ku (Overflowing),310.9971,-7.91,143.99,4/4,A,Major,0.473,0.591,0.0523,0.565,0.107,0.0336
1,0o9zmvc5f3EFApU52PPIyW,Shinunoga E-Wa,https://api.spotify.com/v1/tracks/0o9zmvc5f3EFApU52PPIyW,78.0,spotify:track:0o9zmvc5f3EFApU52PPIyW,2020-05-20,1OojCidx0eoPKch2M0Kz31,HELP EVER HURT NEVER,185.57333,-6.124,158.078,4/4,F#/Gb,Minor,0.166,0.76,4.09e-05,0.6,0.189,0.0452
2,7AMGgAPFczs3wJgMqu6Eqi,Matsuri,https://api.spotify.com/v1/tracks/7AMGgAPFczs3wJgMqu6Eqi,68.0,spotify:track:7AMGgAPFczs3wJgMqu6Eqi,2022-03-23,7Ip9X7pnkhJ4cwDoBnvneD,LOVE ALL SERVE ALL,225.92,-7.335,97.025,4/4,C#/Db,Major,0.00892,0.731,0.0502,0.663,0.293,0.0338
3,51oc6MEsXTpnPn6GOw5VuP,きらり,https://api.spotify.com/v1/tracks/51oc6MEsXTpnPn6GOw5VuP,63.0,spotify:track:51oc6MEsXTpnPn6GOw5VuP,2022-01-14,2OXwORzPU4tm1Skiv6l9KT,Kirari Remixes (Asia Edition),231.88295,-6.833,116.982,4/4,D,Major,0.00803,0.764,0.0,0.746,0.357,0.0462
4,02tNuntKQsoou5T4O8meyh,Hana,https://api.spotify.com/v1/tracks/02tNuntKQsoou5T4O8meyh,62.0,spotify:track:02tNuntKQsoou5T4O8meyh,2023-10-12,0v6vQ9tMopUTccn0wUvzQD,Hana,246.69986,-8.203,123.031,4/4,F,Minor,0.118,0.716,0.00659,0.769,0.158,0.0429
5,2vMc8rqFmqs7RFi8NDx0CJ,Garden,https://api.spotify.com/v1/tracks/2vMc8rqFmqs7RFi8NDx0CJ,59.0,spotify:track:2vMc8rqFmqs7RFi8NDx0CJ,2022-03-23,7Ip9X7pnkhJ4cwDoBnvneD,LOVE ALL SERVE ALL,229.33333,-8.332,138.023,4/4,E,Major,0.0932,0.527,0.000337,0.589,0.104,0.0572
6,7pTwW5yCKRx6OkByY53jbz,damn,https://api.spotify.com/v1/tracks/7pTwW5yCKRx6OkByY53jbz,50.0,spotify:track:7pTwW5yCKRx6OkByY53jbz,2022-03-23,7Ip9X7pnkhJ4cwDoBnvneD,LOVE ALL SERVE ALL,259.13231,-7.974,129.983,4/4,G,Major,0.00347,0.7585,4.845e-05,0.7084999999999999,0.10795,0.033
7,2CbGuO0LtVvbh3umN3mDwM,Nan-Nan,https://api.spotify.com/v1/tracks/2CbGuO0LtVvbh3umN3mDwM,54.0,spotify:track:2CbGuO0LtVvbh3umN3mDwM,2020-05-20,1OojCidx0eoPKch2M0Kz31,HELP EVER HURT NEVER,320.64,-7.113,180.065,4/4,G,Major,0.394,0.729,0.000156,0.577,0.144,0.221
8,0Whfa8wikSDUvtB5mzYOGH,Workin' Hard,https://api.spotify.com/v1/tracks/0Whfa8wikSDUvtB5mzYOGH,62.0,spotify:track:0Whfa8wikSDUvtB5mzYOGH,2023-08-24,0BsBIukVE2pUB4xmWrkeAt,Workin' Hard,239.07098,-6.106,90.0,4/4,D,Minor,0.0336,0.664,0.000314,0.74,0.0996,0.086
9,4Lrz9Fg8L1yncuCjjKjD4D,Hedemo Ne-Yo - LASA edit,https://api.spotify.com/v1/tracks/4Lrz9Fg8L1yncuCjjKjD4D,53.0,spotify:track:4Lrz9Fg8L1yncuCjjKjD4D,2022-03-23,7Ip9X7pnkhJ4cwDoBnvneD,LOVE ALL SERVE ALL,188.94667,-5.899,175.966,4/4,C,Major,0.0615,0.861,1.89e-05,0.506,0.387,0.15
10,6SyvPeEmj4yBblsKIyiGqT,Tabiji,https://api.spotify.com/v1/tracks/6SyvPeEmj4yBblsKIyiGqT,52.0,spotify:track:6SyvPeEmj4yBblsKIyiGqT,2022-03-23,7Ip9X7pnkhJ4cwDoBnvneD,LOVE ALL SERVE ALL,277.02667,-6.752,172.025,4/4,A,Major,0.126,0.564,3.01e-06,0.564,0.0787,0.0792
11,7tnYsRepXLaNhqj4xtcWP2,grace,https://api.spotify.com/v1/tracks/7tnYsRepXLaNhqj4xtcWP2,62.0,spotify:track:7tnYsRepXLaNhqj4xtcWP2,2022-10-09,0i6jJH5oVQh0KL8INSSPpu,grace,289.54117,-8.765,108.971,4/4,G,Major,0.0822,0.685,0.0257,0.668,0.319,0.0472
12,26e8ujjSpBAHhIY2ymLUT1,Kaerou,https://api.spotify.com/v1/tracks/26e8ujjSpBAHhIY2ymLUT1,53.0,spotify:track:26e8ujjSpBAHhIY2ymLUT1,2020-05-20,1OojCidx0eoPKch2M0Kz31,HELP EVER HURT NEVER,284.48,-5.926,91.87,4/4,A,Major,0.3,0.623,0.0,0.589,0.127,0.0326
13,6BhO28xuLVeaWKVnd1lbCJ,SAYONARA Baby,https://api.spotify.com/v1/tracks/6BhO28xuLVeaWKVnd1lbCJ,52.0,spotify:track:6BhO28xuLVeaWKVnd1lbCJ,2020-05-20,1OojCidx0eoPKch2M0Kz31,HELP EVER HURT NEVER,260.53333,-5.579,132.044,4/4,A,Major,0.00185,0.884,0.0,0.61,0.342,0.0425
14,5cpOWNmI84MuUCeciETO64,Kazeyo,https://api.spotify.com/v1/tracks/5cpOWNmI84MuUCeciETO64,46.0,spotify:track:5cpOWNmI84MuUCeciETO64,2020-05-20,1OojCidx0eoPKch2M0Kz31,HELP EVER HURT NEVER,284.52,-8.285,114.966,3/4,A,Minor,0.679,0.462,0.000216,0.512,0.101,0.0304
15,57u1FaZlztApkcT5x5XNuD,YASASHISA,https://api.spotify.com/v1/tracks/57u1FaZlztApkcT5x5XNuD,50.0,spotify:track:57u1FaZlztApkcT5x5XNuD,2020-05-20,1OojCidx0eoPKch2M0Kz31,HELP EVER HURT NEVER,240.08,-6.825,133.858,4/4,C#/Db,Major,0.111,0.707,0.0,0.596,0.0926,0.049
16,2PDtvT5DEamQTM5qeiTDsR,"""Seishun Sick""",https://api.spotify.com/v1/tracks/2PDtvT5DEamQTM5qeiTDsR,48.0,spotify:track:2PDtvT5DEamQTM5qeiTDsR,2022-03-23,7Ip9X7pnkhJ4cwDoBnvneD,LOVE ALL SERVE ALL,324.14667,-6.628,108.024,4/4,C#/Db,Major,0.151,0.798,8.55e-05,0.669,0.076,0.0498
17,1JRNrJKTQhfvxII8kkIcAQ,Mo-Eh-Wa,https://api.spotify.com/v1/tracks/1JRNrJKTQhfvxII8kkIcAQ,50.0,spotify:track:1JRNrJKTQhfvxII8kkIcAQ,2020-05-20,1OojCidx0eoPKch2M0Kz31,HELP EVER HURT NEVER,301.93332,-7.969,81.973,4/4,A,Major,0.43,0.585,0.0,0.629,0.357,0.0572
18,1LjZnfncDtrn5YtbU4lQMf,へでもねーよ,https://api.spotify.com/v1/tracks/1LjZnfncDtrn5YtbU4lQMf,50.0,spotify:track:1LjZnfncDtrn5YtbU4lQMf,2020-10-30,7grlPzIHgZINOD2GhYBROR,へでもねーよ,190.75452,-6.206,175.978,4/4,A,Minor,0.0124,0.818,4.26e-06,0.468,0.419,0.0512
19,7nhXN2H8h3i2PaHPXb6FO3,Kirari,https://api.spotify.com/v1/tracks/7nhXN2H8h3i2PaHPXb6FO3,50.0,spotify:track:7nhXN2H8h3i2PaHPXb6FO3,2022-03-23,7Ip9X7pnkhJ4cwDoBnvneD,LOVE ALL SERVE ALL,227.89333,-6.842,116.975,4/4,D,Major,0.00704,0.773,0.0,0.752,0.374,0.0441
20,6AJppuCk5EE86paOdDI4yL,Tokuninai,https://api.spotify.com/v1/tracks/6AJppuCk5EE86paOdDI4yL,48.0,spotify:track:6AJppuCk5EE86paOdDI4yL,2020-05-20,1OojCidx0eoPKch2M0Kz31,HELP EVER HURT NEVER,205.25333,-6.613,99.035,4/4,G,Major,0.0374,0.563,6.43e-05,0.727,0.311,0.0272
21,3DyekzXIo7Or5Krd0eAmo5,YABA,https://api.spotify.com/v1/tracks/3DyekzXIo7Or5Krd0eAmo5,47.0,spotify:track:3DyekzXIo7Or5Krd0eAmo5,2022-03-23,7Ip9X7pnkhJ4cwDoBnvneD,LOVE ALL SERVE ALL,251.88,-7.699,126.106,4/4,B,Major,0.179,0.698,0.000119,0.657,0.246,0.0679
22,2Q0LpnMDXazZk49AWEiHE2,Lonely Rhapsody,https://api.spotify.com/v1/tracks/2Q0LpnMDXazZk49AWEiHE2,47.0,spotify:track:2Q0LpnMDXazZk49AWEiHE2,2022-03-23,7Ip9X7pnkhJ4cwDoBnvneD,LOVE ALL SERVE ALL,286.64,-8.788,150.004,4/4,F,Minor,0.122,0.635,0.0032,0.598,0.107,0.0426
23,7i5pytF8KaId51lIzatwdg,Kiri Ga Naikara,https://api.spotify.com/v1/tracks/7i5pytF8KaId51lIzatwdg,49.0,spotify:track:7i5pytF8KaId51lIzatwdg,2020-05-20,1OojCidx0eoPKch2M0Kz31,HELP EVER HURT NEVER,217.61333,-7.121,98.983,4/4,B,Minor,0.0246,0.78,0.0,0.699,0.368,0.0505
24,2fMdT98JpheoBh6t8DBSjI,MO-EH-YO (Ignite),https://api.spotify.com/v1/tracks/2fMdT98JpheoBh6t8DBSjI,47.0,spotify:track:2fMdT98JpheoBh6t8DBSjI,2022-03-23,7Ip9X7pnkhJ4cwDoBnvneD,LOVE ALL SERVE ALL,277.42667,-6.106,137.934,4/4,C,Major,0.00144,0.875,2.82e-05,0.616,0.365,0.0442
25,25rJtfnU4uqPj4iD96JGMv,Just the Two of Us,https://api.spotify.com/v1/tracks/25rJtfnU4uqPj4iD96JGMv,49.0,spotify:track:25rJtfnU4uqPj4iD96JGMv,2022-03-23,1290P26ZPIKJSHOrOyqLXD,LOVE ALL COVER ALL,217.40105,-9.468,89.873,4/4,C#/Db,Major,0.865,0.411,0.244,0.534,0.0933,0.0315
26,02QcM5pBEymkl6gXb4RHex,Close to you,https://api.spotify.com/v1/tracks/02QcM5pBEymkl6gXb4RHex,42.0,spotify:track:02QcM5pBEymkl6gXb4RHex,2020-05-20,1AHbVBPlzsI0k18agZQ6zr,HELP EVER HURT COVER,220.46667,-12.865,102.035,4/4,D#/Eb,Major,0.924,0.274,0.0185,0.425,0.34,0.0364
27,74Zrps4gc3qTF49oKpm6zF,Cho Si Noccha Te,https://api.spotify.com/v1/tracks/74Zrps4gc3qTF49oKpm6zF,45.0,spotify:track:74Zrps4gc3qTF49oKpm6zF,2020-05-20,1OojCidx0eoPKch2M0Kz31,HELP EVER HURT NEVER,282.24,-6.469,143.923,4/4,A,Minor,0.00838,0.57,0.0,0.609,0.167,0.0303
28,4Y9QwoUwo9blH9R9C5DCnk,"Bye for now,",https://api.spotify.com/v1/tracks/4Y9QwoUwo9blH9R9C5DCnk,44.0,spotify:track:4Y9QwoUwo9blH9R9C5DCnk,2022-03-23,7Ip9X7pnkhJ4cwDoBnvneD,LOVE ALL SERVE ALL,230.72,-13.28,166.043,4/4,G#/Ab,Major,0.832,0.209,0.056,0.251,0.107,0.0363
29,7r9v0CLTunOwlbvdOFFgZo,Tsumi No Kaori,https://api.spotify.com/v1/tracks/7r9v0CLTunOwlbvdOFFgZo,46.0,spotify:track:7r9v0CLTunOwlbvdOFFgZo,2020-05-20,1OojCidx0eoPKch2M0Kz31,HELP EVER HURT NEVER,214.2,-5.745,154.963,4/4,B,Minor,0.0466,0.861,0.0,0.517,0.31,0.0644
30,08ldhcNuoqot1mavblvKfc,Hana - Ballad,https://api.spotify.com/v1/tracks/08ldhcNuoqot1mavblvKfc,42.0,spotify:track:08ldhcNuoqot1mavblvKfc,2023-11-02,3IGw7uRv2y5lTMlIe8PLeT,Hana,247.55457,-10.588,122.993,4/4,D#/Eb,Major,0.887,0.324,0.000238,0.684,0.105,0.0292
31,1zzJfOdraIBJtCAatSYzCt,Kirari - Daul Remix,https://api.spotify.com/v1/tracks/1zzJfOdraIBJtCAatSYzCt,50.0,spotify:track:1zzJfOdraIBJtCAatSYzCt,2022-01-14,2OXwORzPU4tm1Skiv6l9KT,Kirari Remixes (Asia Edition),245.33043,-6.709,114.99,4/4,G,Major,0.0511,0.684,3.68e-05,0.827,0.349,0.171
32,14QNjDBXGCwEzJZUKkiTem,まつり,https://api.spotify.com/v1/tracks/14QNjDBXGCwEzJZUKkiTem,51.0,spotify:track:14QNjDBXGCwEzJZUKkiTem,2022-03-20,3Pwex5PyfxbrNTAwl6FGo5,まつり,225.92404,-7.307,97.021,4/4,C#/Db,Major,0.00758,0.737,0.0408,0.661,0.293,0.0349
33,6qVDKiB5OBsh7TlevCscNP,Sunny,https://api.spotify.com/v1/tracks/6qVDKiB5OBsh7TlevCscNP,43.0,spotify:track:6qVDKiB5OBsh7TlevCscNP,2022-03-23,1290P26ZPIKJSHOrOyqLXD,LOVE ALL COVER ALL,188.54984,-9.434,119.974,4/4,D,Minor,0.855,0.369,7.09e-05,0.671,0.371,0.0323
34,7yA1U2uCoSDmbifza49l1O,Shape Of You,https://api.spotify.com/v1/tracks/7yA1U2uCoSDmbifza49l1O,36.0,spotify:track:7yA1U2uCoSDmbifza49l1O,2020-05-20,1AHbVBPlzsI0k18agZQ6zr,HELP EVER HURT COVER,145.04,-10.082,101.894,4/4,C#/Db,Minor,0.912,0.476,0.00284,0.641,0.21,0.0358
35,7KmuSV13kEJzP07shcXoov,Weak,https://api.spotify.com/v1/tracks/7KmuSV13kEJzP07shcXoov,41.0,spotify:track:7KmuSV13kEJzP07shcXoov,2022-03-23,1290P26ZPIKJSHOrOyqLXD,LOVE ALL COVER ALL,286.8945,-10.076,125.882,4/4,B,Major,0.857,0.341,0.000829,0.654,0.122,0.0334
